Time,"Points:0","Points:1","Points:2","ids","temperature"
750,-0.5,0.2,0,509,899.36
750,-0.47,0.2,0,507,899.25
750,-0.47,0.23333,0,2113,899.25
750,-0.5,0.23333,0,2114,899.32
750,-0.44,0.2,0,505,899.17
750,-0.44,0.23333,0,2115,899.17
750,-0.41,0.2,0,503,899.09
750,-0.41,0.23333,0,2116,899.09
750,-0.38,0.2,0,501,899.01
750,-0.38,0.23333,0,2117,899.01
750,-0.35,0.2,0,499,898.93
750,-0.35,0.23333,0,2118,898.93
750,-0.32,0.2,0,497,898.84
750,-0.32,0.23333,0,2119,898.85
750,-0.29,0.2,0,495,898.76
750,-0.29,0.23333,0,2120,898.77
750,-0.26,0.2,0,493,898.68
750,-0.26,0.23333,0,2121,898.69
750,-0.23,0.2,0,491,898.61
750,-0.23,0.23333,0,2122,898.61
750,-0.2,0.2,0,489,898.53
750,-0.2,0.23333,0,2123,898.53
750,-0.17,0.2,0,487,898.45
750,-0.17,0.23333,0,2124,898.45
750,-0.14,0.2,0,485,898.38
750,-0.14,0.23333,0,2125,898.38
750,-0.11,0.2,0,483,898.3
750,-0.11,0.23333,0,2126,898.3
750,-0.08,0.2,0,481,898.23
750,-0.08,0.23333,0,2127,898.23
750,-0.05,0.2,0,479,898.16
750,-0.05,0.23333,0,2128,898.16
750,-0.02,0.2,0,477,898.09
750,-0.02,0.23333,0,2129,898.09
750,0.01,0.2,0,475,898.02
750,0.01,0.23333,0,2130,898.02
750,0.04,0.2,0,473,897.95
750,0.04,0.23333,0,2131,897.95
750,0.07,0.2,0,471,897.88
750,0.07,0.23333,0,2132,897.88
750,0.1,0.2,0,469,897.81
750,0.1,0.23333,0,2133,897.82
750,0.13,0.2,0,467,897.75
750,0.13,0.23333,0,2134,897.75
750,0.16,0.2,0,465,897.69
750,0.16,0.23333,0,2135,897.69
750,0.19,0.2,0,463,897.62
750,0.19,0.23333,0,2136,897.62
750,0.22,0.2,0,461,897.56
750,0.22,0.23333,0,2137,897.56
750,0.25,0.2,0,459,897.5
750,0.25,0.23333,0,2138,897.5
750,0.28,0.2,0,457,897.44
750,0.28,0.23333,0,2139,897.45
750,0.31,0.2,0,455,897.39
750,0.31,0.23333,0,2140,897.39
750,0.34,0.2,0,453,897.33
750,0.34,0.23333,0,2141,897.33
750,0.37,0.2,0,451,897.28
750,0.37,0.23333,0,2142,897.28
750,0.4,0.2,0,449,897.22
750,0.4,0.23333,0,2143,897.23
750,0.43,0.2,0,447,897.17
750,0.43,0.23333,0,2144,897.17
750,0.46,0.2,0,445,897.12
750,0.46,0.23333,0,2145,897.12
750,0.49,0.2,0,443,897.07
750,0.49,0.23333,0,2146,897.07
750,0.52,0.2,0,441,897.02
750,0.52,0.23333,0,2147,897.03
750,0.55,0.2,0,439,896.98
750,0.55,0.23333,0,2148,896.98
750,0.58,0.2,0,437,896.93
750,0.58,0.23333,0,2149,896.94
750,0.61,0.2,0,435,896.89
750,0.61,0.23333,0,2150,896.89
750,0.64,0.2,0,433,896.85
750,0.64,0.23333,0,2151,896.85
750,0.67,0.2,0,431,896.81
750,0.67,0.23333,0,2152,896.81
750,0.7,0.2,0,429,896.77
750,0.7,0.23333,0,2153,896.77
750,0.73,0.2,0,427,896.73
750,0.73,0.23333,0,2154,896.73
750,0.76,0.2,0,425,896.69
750,0.76,0.23333,0,2155,896.69
750,0.79,0.2,0,423,896.66
750,0.79,0.23333,0,2156,896.66
750,0.82,0.2,0,421,896.62
750,0.82,0.23333,0,2157,896.63
750,0.85,0.2,0,419,896.59
750,0.85,0.23333,0,2158,896.6
750,0.88,0.2,0,417,896.56
750,0.88,0.23333,0,2159,896.57
750,0.91,0.2,0,415,896.54
750,0.91,0.23333,0,2160,896.54
750,0.94,0.2,0,413,896.51
750,0.94,0.23333,0,2161,896.51
750,0.97,0.2,0,410,896.49
750,0.97,0.23333,0,2162,896.49
750,1,0.2,0,409,896.46
