Time,"Points:0","Points:1","Points:2","ids","temperature"
540,-0.5,0.2,0,509,898.96
540,-0.47,0.2,0,507,898.79
540,-0.47,0.23333,0,2113,898.79
540,-0.5,0.23333,0,2114,898.91
540,-0.44,0.2,0,505,898.66
540,-0.44,0.23333,0,2115,898.66
540,-0.41,0.2,0,503,898.53
540,-0.41,0.23333,0,2116,898.53
540,-0.38,0.2,0,501,898.4
540,-0.38,0.23333,0,2117,898.4
540,-0.35,0.2,0,499,898.26
540,-0.35,0.23333,0,2118,898.27
540,-0.32,0.2,0,497,898.14
540,-0.32,0.23333,0,2119,898.14
540,-0.29,0.2,0,495,898.01
540,-0.29,0.23333,0,2120,898.01
540,-0.26,0.2,0,493,897.88
540,-0.26,0.23333,0,2121,897.88
540,-0.23,0.2,0,491,897.76
540,-0.23,0.23333,0,2122,897.76
540,-0.2,0.2,0,489,897.64
540,-0.2,0.23333,0,2123,897.64
540,-0.17,0.2,0,487,897.51
540,-0.17,0.23333,0,2124,897.52
540,-0.14,0.2,0,485,897.4
540,-0.14,0.23333,0,2125,897.4
540,-0.11,0.2,0,483,897.28
540,-0.11,0.23333,0,2126,897.28
540,-0.08,0.2,0,481,897.17
540,-0.08,0.23333,0,2127,897.17
540,-0.05,0.2,0,479,897.05
540,-0.05,0.23333,0,2128,897.06
540,-0.02,0.2,0,477,896.94
540,-0.02,0.23333,0,2129,896.95
540,0.01,0.2,0,475,896.84
540,0.01,0.23333,0,2130,896.84
540,0.04,0.2,0,473,896.73
540,0.04,0.23333,0,2131,896.73
540,0.07,0.2,0,471,896.63
540,0.07,0.23333,0,2132,896.63
540,0.1,0.2,0,469,896.53
540,0.1,0.23333,0,2133,896.53
540,0.13,0.2,0,467,896.43
540,0.13,0.23333,0,2134,896.43
540,0.16,0.2,0,465,896.33
540,0.16,0.23333,0,2135,896.34
540,0.19,0.2,0,463,896.24
540,0.19,0.23333,0,2136,896.24
540,0.22,0.2,0,461,896.15
540,0.22,0.23333,0,2137,896.15
540,0.25,0.2,0,459,896.06
540,0.25,0.23333,0,2138,896.06
540,0.28,0.2,0,457,895.97
540,0.28,0.23333,0,2139,895.98
540,0.31,0.2,0,455,895.89
540,0.31,0.23333,0,2140,895.89
540,0.34,0.2,0,453,895.81
540,0.34,0.23333,0,2141,895.81
540,0.37,0.2,0,451,895.73
540,0.37,0.23333,0,2142,895.73
540,0.4,0.2,0,449,895.65
540,0.4,0.23333,0,2143,895.66
540,0.43,0.2,0,447,895.58
540,0.43,0.23333,0,2144,895.58
540,0.46,0.2,0,445,895.51
540,0.46,0.23333,0,2145,895.51
540,0.49,0.2,0,443,895.44
540,0.49,0.23333,0,2146,895.44
540,0.52,0.2,0,441,895.37
540,0.52,0.23333,0,2147,895.37
540,0.55,0.2,0,439,895.3
540,0.55,0.23333,0,2148,895.31
540,0.58,0.2,0,437,895.24
540,0.58,0.23333,0,2149,895.24
540,0.61,0.2,0,435,895.18
540,0.61,0.23333,0,2150,895.18
540,0.64,0.2,0,433,895.12
540,0.64,0.23333,0,2151,895.13
540,0.67,0.2,0,431,895.07
540,0.67,0.23333,0,2152,895.07
540,0.7,0.2,0,429,895.02
540,0.7,0.23333,0,2153,895.02
540,0.73,0.2,0,427,894.97
540,0.73,0.23333,0,2154,894.97
540,0.76,0.2,0,425,894.92
540,0.76,0.23333,0,2155,894.92
540,0.79,0.2,0,423,894.87
540,0.79,0.23333,0,2156,894.88
540,0.82,0.2,0,421,894.83
540,0.82,0.23333,0,2157,894.83
540,0.85,0.2,0,419,894.79
540,0.85,0.23333,0,2158,894.8
540,0.88,0.2,0,417,894.75
540,0.88,0.23333,0,2159,894.76
540,0.91,0.2,0,415,894.72
540,0.91,0.23333,0,2160,894.73
540,0.94,0.2,0,413,894.69
540,0.94,0.23333,0,2161,894.7
540,0.97,0.2,0,410,894.66
540,0.97,0.23333,0,2162,894.67
540,1,0.2,0,409,894.63
540,1,0.23333,0,1942,894.66
540,-0.47,0.26667,0,2163,898.79
540,-0.5,0.26667,0,2164,898.91
540,-0.44,0.26667,0,2165,898.66
540,-0.41,0.26667,0,2166,898.53
540,-0.38,0.26667,0,2167,898.4
540,-0.35,0.26667,0,2168,898.27
540,-0.32,0.26667,0,2169,898.14
540,-0.29,0.26667,0,2170,898.01
540,-0.26,0.26667,0,2171,897.88
540,-0.23,0.26667,0,2172,897.76
540,-0.2,0.26667,0,2173,897.64
540,-0.17,0.26667,0,2174,897.52
540,-0.14,0.26667,0,2175,897.4
540,-0.11,0.26667,0,2176,897.28
540,-0.08,0.26667,0,2177,897.17
540,-0.05,0.26667,0,2178,897.06
540,-0.02,0.26667,0,2179,896.95
540,0.01,0.26667,0,2180,896.84
540,0.04,0.26667,0,2181,896.73
540,0.07,0.26667,0,2182,896.63
540,0.1,0.26667,0,2183,896.53
540,0.13,0.26667,0,2184,896.43
540,0.16,0.26667,0,2185,896.34
