Time,"Points:0","Points:1","Points:2","ids","temperature"
920,-0.5,0.2,0,509,899.54
920,-0.47,0.2,0,507,899.47
920,-0.47,0.23333,0,2113,899.47
920,-0.5,0.23333,0,2114,899.52
920,-0.44,0.2,0,505,899.41
920,-0.44,0.23333,0,2115,899.41
920,-0.41,0.2,0,503,899.35
920,-0.41,0.23333,0,2116,899.35
920,-0.38,0.2,0,501,899.29
920,-0.38,0.23333,0,2117,899.29
920,-0.35,0.2,0,499,899.23
920,-0.35,0.23333,0,2118,899.23
920,-0.32,0.2,0,497,899.18
920,-0.32,0.23333,0,2119,899.18
920,-0.29,0.2,0,495,899.12
920,-0.29,0.23333,0,2120,899.12
920,-0.26,0.2,0,493,899.06
920,-0.26,0.23333,0,2121,899.06
920,-0.23,0.2,0,491,899
920,-0.23,0.23333,0,2122,899
920,-0.2,0.2,0,489,898.95
920,-0.2,0.23333,0,2123,898.95
920,-0.17,0.2,0,487,898.89
920,-0.17,0.23333,0,2124,898.89
920,-0.14,0.2,0,485,898.84
920,-0.14,0.23333,0,2125,898.84
920,-0.11,0.2,0,483,898.78
920,-0.11,0.23333,0,2126,898.78
920,-0.08,0.2,0,481,898.73
920,-0.08,0.23333,0,2127,898.73
920,-0.05,0.2,0,479,898.68
920,-0.05,0.23333,0,2128,898.68
920,-0.02,0.2,0,477,898.62
920,-0.02,0.23333,0,2129,898.62
920,0.01,0.2,0,475,898.57
920,0.01,0.23333,0,2130,898.57
920,0.04,0.2,0,473,898.52
920,0.04,0.23333,0,2131,898.52
920,0.07,0.2,0,471,898.47
920,0.07,0.23333,0,2132,898.47
920,0.1,0.2,0,469,898.42
920,0.1,0.23333,0,2133,898.42
920,0.13,0.2,0,467,898.37
920,0.13,0.23333,0,2134,898.37
920,0.16,0.2,0,465,898.33
920,0.16,0.23333,0,2135,898.33
920,0.19,0.2,0,463,898.28
920,0.19,0.23333,0,2136,898.28
920,0.22,0.2,0,461,898.23
920,0.22,0.23333,0,2137,898.23
920,0.25,0.2,0,459,898.19
920,0.25,0.23333,0,2138,898.19
920,0.28,0.2,0,457,898.14
920,0.28,0.23333,0,2139,898.14
920,0.31,0.2,0,455,898.1
920,0.31,0.23333,0,2140,898.1
920,0.34,0.2,0,453,898.06
920,0.34,0.23333,0,2141,898.06
920,0.37,0.2,0,451,898.01
920,0.37,0.23333,0,2142,898.01
920,0.4,0.2,0,449,897.97
920,0.4,0.23333,0,2143,897.97
920,0.43,0.2,0,447,897.93
920,0.43,0.23333,0,2144,897.93
920,0.46,0.2,0,445,897.89
920,0.46,0.23333,0,2145,897.89
920,0.49,0.2,0,443,897.85
920,0.49,0.23333,0,2146,897.85
920,0.52,0.2,0,441,897.81
920,0.52,0.23333,0,2147,897.82
920,0.55,0.2,0,439,897.78
920,0.55,0.23333,0,2148,897.78
920,0.58,0.2,0,437,897.74
920,0.58,0.23333,0,2149,897.74
920,0.61,0.2,0,435,897.71
920,0.61,0.23333,0,2150,897.71
920,0.64,0.2,0,433,897.67
920,0.64,0.23333,0,2151,897.67
920,0.67,0.2,0,431,897.64
920,0.67,0.23333,0,2152,897.64
920,0.7,0.2,0,429,897.6
920,0.7,0.23333,0,2153,897.61
920,0.73,0.2,0,427,897.57
920,0.73,0.23333,0,2154,897.57
920,0.76,0.2,0,425,897.54
920,0.76,0.23333,0,2155,897.54
920,0.79,0.2,0,423,897.51
920,0.79,0.23333,0,2156,897.51
920,0.82,0.2,0,421,897.48
920,0.82,0.23333,0,2157,897.49
920,0.85,0.2,0,419,897.46
920,0.85,0.23333,0,2158,897.46
920,0.88,0.2,0,417,897.43
920,0.88,0.23333,0,2159,897.43
920,0.91,0.2,0,415,897.41
920,0.91,0.23333,0,2160,897.41
920,0.94,0.2,0,413,897.39
920,0.94,0.23333,0,2161,897.39
920,0.97,0.2,0,410,897.37
920,0.97,0.23333,0,2162,897.37
920,1,0.2,0,409,897.34
920,1,0.23333,0,1942,897.36
920,-0.47,0.26667,0,2163,899.47
920,-0.5,0.26667,0,2164,899.52
920,-0.44,0.26667,0,2165,899.41
920,-0.41,0.26667,0,2166,899.35
920,-0.38,0.26667,0,2167,899.29
920,-0.35,0.26667,0,2168,899.23
920,-0.32,0.26667,0,2169,899.18
920,-0.29,0.26667,0,2170,899.12
920,-0.26,0.26667,0,2171,899.06
920,-0.23,0.26667,0,2172,899
920,-0.2,0.26667,0,2173,898.95
920,-0.17,0.26667,0,2174,898.89
920,-0.14,0.26667,0,2175,898.84
920,-0.11,0.26667,0,2176,898.78
920,-0.08,0.26667,0,2177,898.73
920,-0.05,0.26667,0,2178,898.68
920,-0.02,0.26667,0,2179,898.62
920,0.01,0.26667,0,2180,898.57
920,0.04,0.26667,0,2181,898.52
920,0.07,0.26667,0,2182,898.47
920,0.1,0.26667,0,2183,898.42
920,0.13,0.26667,0,2184,898.37
920,0.16,0.26667,0,2185,898.33
920,0.19,0.26667,0,2186,898.28
920,0.22,0.26667,0,2187,898.23
920,0.25,0.26667,0,2188,898.19
920,0.28,0.26667,0,2189,898.14
920,0.31,0.26667,0,2190,898.1
920,0.34,0.26667,0,2191,898.06
920,0.37,0.26667,0,2192,898.01
920,0.4,0.26667,0,2193,897.97
920,0.43,0.26667,0,2194,897.93
920,0.46,0.26667,0,2195,897.89
920,0.49,0.26667,0,2196,897.85
920,0.52,0.26667,0,2197,897.82
920,0.55,0.26667,0,2198,897.78
920,0.58,0.26667,0,2199,897.74
920,0.61,0.26667,0,2200,897.71
920,0.64,0.26667,0,2201,897.67
920,0.67,0.26667,0,2202,897.64
920,0.7,0.26667,0,2203,897.61
920,0.73,0.26667,0,2204,897.57
920,0.76,0.26667,0,2205,897.54
920,0.79,0.26667,0,2206,897.51
920,0.82,0.26667,0,2207,897.49
920,0.85,0.26667,0,2208,897.46
920,0.88,0.26667,0,2209,897.43
920,0.91,0.26667,0,2210,897.41
920,0.94,0.26667,0,2211,897.39
920,0.97,0.26667,0,2212,897.37
920,1,0.26667,0,1960,897.36
920,-0.47,0.3,0,407,899.47
920,-0.5,0.3,0,408,899.54
920,-0.44,0.3,0,406,899.41
920,-0.41,0.3,0,405,899.35
920,-0.38,0.3,0,404,899.29
920,-0.35,0.3,0,403,899.23
920,-0.32,0.3,0,402,899.18
920,-0.29,0.3,0,401,899.12
920,-0.26,0.3,0,400,899.06
920,-0.23,0.3,0,399,899
920,-0.2,0.3,0,398,898.95
920,-0.17,0.3,0,397,898.89
920,-0.14,0.3,0,396,898.84
920,-0.11,0.3,0,395,898.78
920,-0.08,0.3,0,394,898.73
920,-0.05,0.3,0,393,898.68
920,-0.02,0.3,0,392,898.62
920,0.01,0.3,0,391,898.57
920,0.04,0.3,0,390,898.52
920,0.07,0.3,0,389,898.47
920,0.1,0.3,0,388,898.42
920,0.13,0.3,0,387,898.37
920,0.16,0.3,0,386,898.33
920,0.19,0.3,0,385,898.28
920,0.22,0.3,0,384,898.23
920,0.25,0.3,0,383,898.19
920,0.28,0.3,0,382,898.14
920,0.31,0.3,0,381,898.1
920,0.34,0.3,0,380,898.06
920,0.37,0.3,0,379,898.01
920,0.4,0.3,0,378,897.97
920,0.43,0.3,0,377,897.93
920,0.46,0.3,0,376,897.89
920,0.49,0.3,0,375,897.85
920,0.52,0.3,0,374,897.81
920,0.55,0.3,0,373,897.78
920,0.58,0.3,0,372,897.74
920,0.61,0.3,0,371,897.71
920,0.64,0.3,0,370,897.67
920,0.67,0.3,0,369,897.64
920,0.7,0.3,0,368,897.6
920,0.73,0.3,0,367,897.57
920,0.76,0.3,0,366,897.54
920,0.79,0.3,0,365,897.51
920,0.82,0.3,0,364,897.48
920,0.85,0.3,0,363,897.46
920,0.88,0.3,0,362,897.43
920,0.91,0.3,0,361,897.41
920,0.94,0.3,0,360,897.39
920,0.97,0.3,0,358,897.37
920,1,0.3,0,359,897.34
920,-0.5,-0.3,0,1223,899.54
920,-0.47,-0.3,0,1221,899.47
920,-0.47,-0.26667,0,2213,899.47
920,-0.5,-0.26667,0,2214,899.52
920,-0.44,-0.3,0,1219,899.41
920,-0.44,-0.26667,0,2215,899.41
920,-0.41,-0.3,0,1217,899.35
920,-0.41,-0.26667,0,2216,899.35
920,-0.38,-0.3,0,1215,899.29
920,-0.38,-0.26667,0,2217,899.29
920,-0.35,-0.3,0,1213,899.23
920,-0.35,-0.26667,0,2218,899.23
920,-0.32,-0.3,0,1211,899.18
920,-0.32,-0.26667,0,2219,899.18
920,-0.29,-0.3,0,1209,899.12
920,-0.29,-0.26667,0,2220,899.12
920,-0.26,-0.3,0,1207,899.06
920,-0.26,-0.26667,0,2221,899.06
920,-0.23,-0.3,0,1205,899
920,-0.23,-0.26667,0,2222,899
920,-0.2,-0.3,0,1203,898.95
