Time,"Points:0","Points:1","Points:2","contact_pressure","disp:0","disp:1","disp:2","ids","nodal_area_dummy_name","penetration"
2.3,-0.5,-0.5,0.5,0,0,0,0,1,0,0
2.3,-0.5,-0.5,0.3,0,0,0,0,2,0,0
2.3,-0.5,-0.3,0.3,0,-4.1693e-08,-5.8032e-08,1.848e-08,3,0,0
2.3,-0.5,-0.3,0.5,0,-4.0742e-08,-6.6401e-08,4.065e-08,4,0,0
2.3,-0.3,-0.5,0.5,0,0,0,0,5,0,0
2.3,-0.3,-0.5,0.3,0,0,0,0,6,0,0
2.3,-0.3,-0.3,0.3,0,-1.846e-08,-4.9244e-08,1.839e-08,7,0,0
2.3,-0.3,-0.3,0.5,0,-1.8569e-08,-5.7977e-08,4.1615e-08,8,0,0
2.3,-0.5,-0.5,0.1,0,0,0,0,9,0,0
2.3,-0.5,-0.3,0.1,0,-4.3635e-08,-5.9197e-08,5.6424e-09,10,0,0
2.3,-0.3,-0.5,0.1,0,0,0,0,11,0,0
2.3,-0.3,-0.3,0.1,0,-1.9506e-08,-5.0084e-08,5.379e-09,12,0,0
2.3,-0.5,-0.5,-0.1,0,0,0,0,13,0,0
2.3,-0.5,-0.3,-0.1,0,-4.3628e-08,-5.9195e-08,-5.7466e-09,14,0,0
2.3,-0.3,-0.5,-0.1,0,0,0,0,15,0,0
2.3,-0.3,-0.3,-0.1,0,-1.9498e-08,-5.0088e-08,-5.4616e-09,16,0,0
2.3,-0.5,-0.5,-0.3,0,0,0,0,17,0,0
2.3,-0.5,-0.3,-0.3,0,-4.1675e-08,-5.8025e-08,-1.8579e-08,18,0,0
2.3,-0.3,-0.5,-0.3,0,0,0,0,19,0,0
2.3,-0.3,-0.3,-0.3,0,-1.8434e-08,-4.9257e-08,-1.847e-08,20,0,0
2.3,-0.5,-0.5,-0.5,0,0,0,0,21,0,0
2.3,-0.5,-0.3,-0.5,0,-4.0705e-08,-6.6453e-08,-4.076e-08,22,0,0
2.3,-0.3,-0.5,-0.5,0,0,0,0,23,0,0
2.3,-0.3,-0.3,-0.5,0,-1.8523e-08,-5.8049e-08,-4.1709e-08,24,0,0
2.3,-0.5,-0.1,0.3,0,-3.5319e-08,-1.0422e-07,2.3635e-08,25,0,0
2.3,-0.5,-0.1,0.5,0,-3.4301e-08,-1.0206e-07,3.4053e-08,26,0,0
2.3,-0.3,-0.1,0.3,0,-2.3699e-08,-1.0656e-07,2.3521e-08,27,0,0
2.3,-0.3,-0.1,0.5,0,-2.387e-08,-1.0414e-07,3.5133e-08,28,0,0
2.3,-0.5,-0.1,0.1,0,-3.8234e-08,-1.026e-07,7.5314e-09,29,0,0
2.3,-0.3,-0.1,0.1,0,-2.493e-08,-1.0505e-07,7.168e-09,30,0,0
2.3,-0.5,-0.1,-0.1,0,-3.8209e-08,-1.026e-07,-7.7565e-09,31,0,0
2.3,-0.3,-0.1,-0.1,0,-2.4909e-08,-1.0506e-07,-7.3466e-09,32,0,0
2.3,-0.5,-0.1,-0.3,0,-3.5254e-08,-1.0422e-07,-2.3863e-08,33,0,0
2.3,-0.3,-0.1,-0.3,0,-2.3631e-08,-1.066e-07,-2.3706e-08,34,0,0
2.3,-0.5,-0.1,-0.5,0,-3.4191e-08,-1.0214e-07,-3.4308e-08,35,0,0
2.3,-0.3,-0.1,-0.5,0,-2.3746e-08,-1.0426e-07,-3.5328e-08,36,0,0
2.3,-0.5,0.1,0.3,0,-2.6815e-08,-1.3647e-07,1.6557e-08,37,0,0
2.3,-0.5,0.1,0.5,0,-2.6915e-08,-1.2936e-07,2.65e-08,38,0,0
2.3,-0.3,0.1,0.3,0,-1.6937e-08,-1.4393e-07,1.664e-08,39,0,0
2.3,-0.3,0.1,0.5,0,-1.6932e-08,-1.3646e-07,2.6478e-08,40,0,0
2.3,-0.5,0.1,0.1,0,-2.7481e-08,-1.38e-07,6.0608e-09,41,0,0
2.3,-0.3,0.1,0.1,0,-1.747e-08,-1.4579e-07,5.9804e-09,42,0,0
2.3,-0.5,0.1,-0.1,0,-2.745e-08,-1.3802e-07,-6.3912e-09,43,0,0
2.3,-0.3,0.1,-0.1,0,-1.7425e-08,-1.4579e-07,-6.2642e-09,44,0,0
2.3,-0.5,0.1,-0.3,0,-2.668e-08,-1.3653e-07,-1.692e-08,45,0,0
