Time,"Points:0","Points:1","Points:2","contact_pressure","disp:0","disp:1","disp:2","ids","nodal_area_dummy_name","penetration"
2.7,-0.5,-0.5,0.5,0,0,0,0,1,0,0
2.7,-0.5,-0.5,0.3,0,0,0,0,2,0,0
2.7,-0.5,-0.3,0.3,0,-4.1694e-08,-5.8033e-08,1.8486e-08,3,0,0
2.7,-0.5,-0.3,0.5,0,-4.0741e-08,-6.6405e-08,4.0658e-08,4,0,0
2.7,-0.3,-0.5,0.5,0,0,0,0,5,0,0
2.7,-0.3,-0.5,0.3,0,0,0,0,6,0,0
2.7,-0.3,-0.3,0.3,0,-1.8459e-08,-4.9245e-08,1.8395e-08,7,0,0
2.7,-0.3,-0.3,0.5,0,-1.8567e-08,-5.7982e-08,4.1621e-08,8,0,0
2.7,-0.5,-0.5,0.1,0,0,0,0,9,0,0
2.7,-0.5,-0.3,0.1,0,-4.3636e-08,-5.9198e-08,5.6476e-09,10,0,0
2.7,-0.3,-0.5,0.1,0,0,0,0,11,0,0
2.7,-0.3,-0.3,0.1,0,-1.9506e-08,-5.0085e-08,5.3839e-09,12,0,0
2.7,-0.5,-0.5,-0.1,0,0,0,0,13,0,0
2.7,-0.5,-0.3,-0.1,0,-4.3629e-08,-5.9196e-08,-5.7414e-09,14,0,0
2.7,-0.3,-0.5,-0.1,0,0,0,0,15,0,0
2.7,-0.3,-0.3,-0.1,0,-1.9498e-08,-5.0088e-08,-5.4573e-09,16,0,0
2.7,-0.5,-0.5,-0.3,0,0,0,0,17,0,0
2.7,-0.5,-0.3,-0.3,0,-4.1677e-08,-5.8026e-08,-1.8574e-08,18,0,0
2.7,-0.3,-0.5,-0.3,0,0,0,0,19,0,0
2.7,-0.3,-0.3,-0.3,0,-1.8435e-08,-4.9257e-08,-1.8466e-08,20,0,0
2.7,-0.5,-0.5,-0.5,0,0,0,0,21,0,0
2.7,-0.5,-0.3,-0.5,0,-4.0707e-08,-6.645e-08,-4.0754e-08,22,0,0
2.7,-0.3,-0.5,-0.5,0,0,0,0,23,0,0
2.7,-0.3,-0.3,-0.5,0,-1.8526e-08,-5.8045e-08,-4.1704e-08,24,0,0
2.7,-0.5,-0.1,0.3,0,-3.5318e-08,-1.0422e-07,2.3648e-08,25,0,0
2.7,-0.5,-0.1,0.5,0,-3.4298e-08,-1.0207e-07,3.4065e-08,26,0,0
2.7,-0.3,-0.1,0.3,0,-2.3697e-08,-1.0657e-07,2.3532e-08,27,0,0
2.7,-0.3,-0.1,0.5,0,-2.3866e-08,-1.0415e-07,3.5144e-08,28,0,0
2.7,-0.5,-0.1,0.1,0,-3.8234e-08,-1.0261e-07,7.5428e-09,29,0,0
2.7,-0.3,-0.1,0.1,0,-2.493e-08,-1.0505e-07,7.1779e-09,30,0,0
2.7,-0.5,-0.1,-0.1,0,-3.8211e-08,-1.026e-07,-7.7452e-09,31,0,0
2.7,-0.3,-0.1,-0.1,0,-2.4911e-08,-1.0506e-07,-7.337e-09,32,0,0
2.7,-0.5,-0.1,-0.3,0,-3.5258e-08,-1.0422e-07,-2.3852e-08,33,0,0
2.7,-0.3,-0.1,-0.3,0,-2.3634e-08,-1.066e-07,-2.3696e-08,34,0,0
2.7,-0.5,-0.1,-0.5,0,-3.4198e-08,-1.0214e-07,-3.4296e-08,35,0,0
2.7,-0.3,-0.1,-0.5,0,-2.3752e-08,-1.0425e-07,-3.5319e-08,36,0,0
2.7,-0.5,0.1,0.3,0,-2.6814e-08,-1.3648e-07,1.6575e-08,37,0,0
2.7,-0.5,0.1,0.5,0,-2.6912e-08,-1.2937e-07,2.6517e-08,38,0,0
2.7,-0.3,0.1,0.3,0,-1.6935e-08,-1.4394e-07,1.6656e-08,39,0,0
2.7,-0.3,0.1,0.5,0,-1.6928e-08,-1.3647e-07,2.6494e-08,40,0,0
2.7,-0.5,0.1,0.1,0,-2.7482e-08,-1.38e-07,6.0786e-09,41,0,0
2.7,-0.3,0.1,0.1,0,-1.747e-08,-1.4579e-07,5.9959e-09,42,0,0
2.7,-0.5,0.1,-0.1,0,-2.7454e-08,-1.3802e-07,-6.3729e-09,43,0,0
2.7,-0.3,0.1,-0.1,0,-1.7429e-08,-1.4579e-07,-6.2487e-09,44,0,0
2.7,-0.5,0.1,-0.3,0,-2.6687e-08,-1.3653e-07,-1.6902e-08,45,0,0
2.7,-0.3,0.1,-0.3,0,-1.6829e-08,-1.4396e-07,-1.6911e-08,46,0,0
2.7,-0.5,0.1,-0.5,0,-2.6691e-08,-1.2948e-07,-2.6827e-08,47,0,0
2.7,-0.3,0.1,-0.5,0,-1.6772e-08,-1.3656e-07,-2.6778e-08,48,0,0
2.7,-0.5,0.3,0.3,0,-1.4094e-08,-1.5753e-07,9.0873e-09,49,0,0
2.7,-0.5,0.3,0.5,0,-1.395e-08,-1.4839e-07,1.3579e-08,50,0,0
2.7,-0.3,0.3,0.3,0,-9.3583e-09,-1.6679e-07,8.9571e-09,51,0,0
2.7,-0.3,0.3,0.5,0,-9.521e-09,-1.578e-07,1.3841e-08,52,0,0
2.7,-0.5,0.3,0.1,0,-1.432e-08,-1.612e-07,2.9735e-09,53,0,0
2.7,-0.3,0.3,0.1,0,-9.3524e-09,-1.7049e-07,2.9537e-09,54,0,0
2.7,-0.5,0.3,-0.1,0,-1.4289e-08,-1.6124e-07,-3.3183e-09,55,0,0
2.7,-0.3,0.3,-0.1,0,-9.3315e-09,-1.7053e-07,-3.2543e-09,56,0,0
2.7,-0.5,0.3,-0.3,0,-1.4061e-08,-1.5773e-07,-9.4103e-09,57,0,0
2.7,-0.3,0.3,-0.3,0,-9.2244e-09,-1.6683e-07,-9.3194e-09,58,0,0
2.7,-0.5,0.3,-0.5,0,-1.3864e-08,-1.4875e-07,-1.4018e-08,59,0,0
2.7,-0.3,0.3,-0.5,0,-9.2733e-09,-1.5775e-07,-1.4166e-08,60,0,0
2.7,-0.5,0.5,0.3,0,-1.5805e-09,-1.6543e-07,9.0904e-10,61,0,0
2.7,-0.5,0.5,0.5,0,-1.7902e-09,-1.5569e-07,1.2418e-09,62,0,0
2.7,-0.3,0.5,0.3,0,-1.1847e-09,-1.7517e-07,9.7137e-10,63,0,0
2.7,-0.3,0.5,0.5,0,-1.1218e-09,-1.6508e-07,1.6683e-09,64,0,0
2.7,-0.5,0.5,0.1,0,-1.6604e-09,-1.7e-07,2.6261e-10,65,0,0
2.7,-0.3,0.5,0.1,0,-1.1867e-09,-1.7981e-07,3.1124e-10,66,0,0
2.7,-0.5,0.5,-0.1,0,-1.6397e-09,-1.7006e-07,-6.8574e-10,67,0,0
2.7,-0.3,0.5,-0.1,0,-1.2063e-09,-1.7986e-07,-6.608e-10,68,0,0
2.7,-0.5,0.5,-0.3,0,-1.6499e-09,-1.6561e-07,-1.308e-09,69,0,0
2.7,-0.3,0.5,-0.3,0,-1.1863e-09,-1.7536e-07,-1.3058e-09,70,0,0
2.7,-0.5,0.5,-0.5,0,-1.6873e-09,-1.5596e-07,-1.8495e-09,71,0,0
2.7,-0.3,0.5,-0.5,0,-1.1614e-09,-1.6564e-07,-1.7749e-09,72,0,0
2.7,-0.1,-0.5,0.5,0,0,0,0,73,0,0
2.7,-0.1,-0.5,0.3,0,0,0,0,74,0,0
2.7,-0.1,-0.3,0.3,0,-5.4461e-09,-5.0076e-08,1.9465e-08,75,0,0
2.7,-0.1,-0.3,0.5,0,-5.7297e-09,-5.915e-08,4.3567e-08,76,0,0
2.7,-0.1,-0.5,0.1,0,0,0,0,77,0,0
2.7,-0.1,-0.3,0.1,0,-5.7607e-09,-5.1369e-08,5.7189e-09,78,0,0
2.7,-0.1,-0.5,-0.1,0,0,0,0,79,0,0
2.7,-0.1,-0.3,-0.1,0,-5.7513e-09,-5.1369e-08,-5.7684e-09,80,0,0
2.7,-0.1,-0.5,-0.3,0,0,0,0,81,0,0
2.7,-0.1,-0.3,-0.3,0,-5.4183e-09,-5.0092e-08,-1.9511e-08,82,0,0
2.7,-0.1,-0.5,-0.5,0,0,0,0,83,0,0
2.7,-0.1,-0.3,-0.5,0,-5.6802e-09,-5.9204e-08,-4.3639e-08,84,0,0
2.7,-0.1,-0.1,0.3,0,-7.3219e-09,-1.0505e-07,2.4797e-08,85,0,0
2.7,-0.1,-0.1,0.5,0,-7.7412e-09,-1.0256e-07,3.8119e-08,86,0,0
2.7,-0.1,-0.1,0.1,0,-7.6757e-09,-1.0328e-07,7.5803e-09,87,0,0
2.7,-0.1,-0.1,-0.1,0,-7.6584e-09,-1.0329e-07,-7.6975e-09,88,0,0
2.7,-0.1,-0.1,-0.3,0,-7.2657e-09,-1.0506e-07,-2.4934e-08,89,0,0
2.7,-0.1,-0.1,-0.5,0,-7.6359e-09,-1.0263e-07,-3.8234e-08,90,0,0
2.7,-0.1,0.1,0.3,0,-6.2256e-09,-1.458e-07,1.7293e-08,91,0,0
2.7,-0.1,0.1,0.5,0,-6.3283e-09,-1.38e-07,2.7217e-08,92,0,0
2.7,-0.1,0.1,0.1,0,-6.4246e-09,-1.4729e-07,6.2081e-09,93,0,0
2.7,-0.1,0.1,-0.1,0,-6.4024e-09,-1.4726e-07,-6.4418e-09,94,0,0
2.7,-0.1,0.1,-0.3,0,-6.1658e-09,-1.4581e-07,-1.7468e-08,95,0,0
2.7,-0.1,0.1,-0.5,0,-6.2389e-09,-1.3806e-07,-2.7494e-08,96,0,0
2.7,-0.1,0.3,0.3,0,-3.2256e-09,-1.7077e-07,8.8581e-09,97,0,0
2.7,-0.1,0.3,0.5,0,-3.4008e-09,-1.6142e-07,1.4216e-08,98,0,0
2.7,-0.1,0.3,0.1,0,-3.2612e-09,-1.7421e-07,3.039e-09,99,0,0
2.7,-0.1,0.3,-0.1,0,-3.2447e-09,-1.7428e-07,-3.28e-09,100,0,0
2.7,-0.1,0.3,-0.3,0,-3.1752e-09,-1.7055e-07,-9.3899e-09,101,0,0
2.7,-0.1,0.3,-0.5,0,-3.1883e-09,-1.6131e-07,-1.4362e-08,102,0,0
2.7,-0.1,0.5,0.3,0,-6.3022e-10,-1.799e-07,1.2853e-09,103,0,0
2.7,-0.1,0.5,0.5,0,8.813e-11,-1.7201e-07,1.3878e-10,104,0,0
2.7,-0.1,0.5,0.1,0,-5.9924e-10,-1.8434e-07,3.6037e-10,105,0,0
2.7,-0.1,0.5,-0.1,0,-5.8353e-10,-1.844e-07,-6.3753e-10,106,0,0
2.7,-0.1,0.5,-0.3,0,-5.6994e-10,-1.7989e-07,-1.2945e-09,107,0,0
2.7,-0.1,0.5,-0.5,0,-5.6246e-10,-1.7013e-07,-1.7601e-09,108,0,0
2.7,0.1,-0.5,0.5,0,0,0,0,109,0,0
2.7,0.1,-0.5,0.3,0,0,0,0,110,0,0
2.7,0.1,-0.3,0.3,0,5.4019e-09,-5.0071e-08,1.9472e-08,111,0,0
2.7,0.1,-0.3,0.5,0,5.6629e-09,-5.9153e-08,4.3579e-08,112,0,0
2.7,0.1,-0.5,0.1,0,0,0,0,113,0,0
2.7,0.1,-0.3,0.1,0,5.7349e-09,-5.1361e-08,5.7324e-09,114,0,0
2.7,0.1,-0.5,-0.1,0,0,0,0,115,0,0
2.7,0.1,-0.3,-0.1,0,5.742e-09,-5.1365e-08,-5.756e-09,116,0,0
2.7,0.1,-0.5,-0.3,0,0,0,0,117,0,0
2.7,0.1,-0.3,-0.3,0,5.4292e-09,-5.0086e-08,-1.9499e-08,118,0,0
2.7,0.1,-0.5,-0.5,0,0,0,0,119,0,0
2.7,0.1,-0.3,-0.5,0,5.718e-09,-5.9193e-08,-4.3622e-08,120,0,0
2.7,0.1,-0.1,0.3,0,7.218e-09,-1.0503e-07,2.4827e-08,121,0,0
2.7,0.1,-0.1,0.5,0,7.6055e-09,-1.0255e-07,3.8128e-08,122,0,0
2.7,0.1,-0.1,0.1,0,7.6012e-09,-1.0327e-07,7.5974e-09,123,0,0
2.7,0.1,-0.1,-0.1,0,7.6161e-09,-1.0328e-07,-7.6727e-09,124,0,0
2.7,0.1,-0.1,-0.3,0,7.2537e-09,-1.0505e-07,-2.4911e-08,125,0,0
2.7,0.1,-0.1,-0.5,0,7.6693e-09,-1.0261e-07,-3.821e-08,126,0,0
2.7,0.1,0.1,0.3,0,6.0652e-09,-1.4579e-07,1.7292e-08,127,0,0
2.7,0.1,0.1,0.5,0,6.1002e-09,-1.3797e-07,2.7274e-08,128,0,0
2.7,0.1,0.1,0.1,0,6.3001e-09,-1.4725e-07,6.2533e-09,129,0,0
2.7,0.1,0.1,-0.1,0,6.2988e-09,-1.4724e-07,-6.4187e-09,130,0,0
2.7,0.1,0.1,-0.3,0,6.1035e-09,-1.4579e-07,-1.7441e-08,131,0,0
2.7,0.1,0.1,-0.5,0,6.2319e-09,-1.3805e-07,-2.7467e-08,132,0,0
2.7,0.1,0.3,0.3,0,3.1132e-09,-1.7055e-07,9.0558e-09,133,0,0
2.7,0.1,0.3,0.5,0,3.2885e-09,-1.6145e-07,1.4155e-08,134,0,0
2.7,0.1,0.3,0.1,0,3.0382e-09,-1.7421e-07,3.0464e-09,135,0,0
2.7,0.1,0.3,-0.1,0,3.062e-09,-1.7426e-07,-3.2608e-09,136,0,0
2.7,0.1,0.3,-0.3,0,3.0385e-09,-1.7054e-07,-9.3673e-09,137,0,0
2.7,0.1,0.3,-0.5,0,3.1026e-09,-1.6129e-07,-1.4339e-08,138,0,0
2.7,0.1,0.5,0.3,0,2.4032e-10,-1.7968e-07,1.0336e-09,139,0,0
2.7,0.1,0.5,0.5,0,1.4613e-10,-1.6967e-07,1.6898e-09,140,0,0
2.7,0.1,0.5,0.1,0,2.6396e-10,-1.8434e-07,3.5155e-10,141,0,0
2.7,0.1,0.5,-0.1,0,3.1575e-10,-1.8438e-07,-6.2255e-10,142,0,0
2.7,0.1,0.5,-0.3,0,3.3983e-10,-1.7987e-07,-1.2807e-09,143,0,0
2.7,0.1,0.5,-0.5,0,3.716e-10,-1.7012e-07,-1.7427e-09,144,0,0
2.7,0.3,-0.5,0.5,0,0,0,0,145,0,0
2.7,0.3,-0.5,0.3,0,0,0,0,146,0,0
2.7,0.3,-0.3,0.3,0,1.8413e-08,-4.9221e-08,1.8422e-08,147,0,0
2.7,0.3,-0.3,0.5,0,1.8508e-08,-5.7976e-08,4.164e-08,148,0,0
2.7,0.3,-0.5,0.1,0,0,0,0,149,0,0
2.7,0.3,-0.3,0.1,0,1.9475e-08,-5.0064e-08,5.4218e-09,150,0,0
2.7,0.3,-0.5,-0.1,0,0,0,0,151,0,0
2.7,0.3,-0.3,-0.1,0,1.9482e-08,-5.0071e-08,-5.4169e-09,152,0,0
2.7,0.3,-0.5,-0.3,0,0,0,0,153,0,0
2.7,0.3,-0.3,-0.3,0,1.8437e-08,-4.924e-08,-1.8426e-08,154,0,0
2.7,0.3,-0.5,-0.5,0,0,0,0,155,0,0
2.7,0.3,-0.3,-0.5,0,1.8558e-08,-5.8005e-08,-4.1657e-08,156,0,0
2.7,0.3,-0.1,0.3,0,2.3578e-08,-1.0651e-07,2.3599e-08,157,0,0
2.7,0.3,-0.1,0.5,0,2.3695e-08,-1.0411e-07,3.5191e-08,158,0,0
2.7,0.3,-0.1,0.1,0,2.4846e-08,-1.05e-07,7.2412e-09,159,0,0
2.7,0.3,-0.1,-0.1,0,2.4856e-08,-1.0502e-07,-7.2674e-09,160,0,0
2.7,0.3,-0.1,-0.3,0,2.3618e-08,-1.0656e-07,-2.3626e-08,161,0,0
2.7,0.3,-0.1,-0.5,0,2.3788e-08,-1.042e-07,-3.5242e-08,162,0,0
2.7,0.3,0.1,0.3,0,1.675e-08,-1.4384e-07,1.6728e-08,163,0,0
