Time,"Points:0","Points:1","Points:2","ids","temperature"
30,-0.5,0.2,0,509,882.05
30,-0.47,0.2,0,507,879.69
30,-0.47,0.23333,0,2113,879.68
30,-0.5,0.23333,0,2114,881.33
30,-0.44,0.2,0,505,877.8
30,-0.44,0.23333,0,2115,877.81
30,-0.41,0.2,0,503,875.94
30,-0.41,0.23333,0,2116,875.97
30,-0.38,0.2,0,501,874.12
30,-0.38,0.23333,0,2117,874.15
30,-0.35,0.2,0,499,872.33
30,-0.35,0.23333,0,2118,872.36
30,-0.32,0.2,0,497,870.57
30,-0.32,0.23333,0,2119,870.6
30,-0.29,0.2,0,495,868.84
30,-0.29,0.23333,0,2120,868.86
30,-0.26,0.2,0,493,867.14
30,-0.26,0.23333,0,2121,867.16
30,-0.23,0.2,0,491,865.47
30,-0.23,0.23333,0,2122,865.5
30,-0.2,0.2,0,489,863.84
30,-0.2,0.23333,0,2123,863.86
30,-0.17,0.2,0,487,862.23
30,-0.17,0.23333,0,2124,862.26
30,-0.14,0.2,0,485,860.66
30,-0.14,0.23333,0,2125,860.69
30,-0.11,0.2,0,483,859.13
30,-0.11,0.23333,0,2126,859.15
30,-0.08,0.2,0,481,857.62
30,-0.08,0.23333,0,2127,857.65
30,-0.05,0.2,0,479,856.16
30,-0.05,0.23333,0,2128,856.18
30,-0.02,0.2,0,477,854.72
30,-0.02,0.23333,0,2129,854.75
30,0.01,0.2,0,475,853.32
30,0.01,0.23333,0,2130,853.35
30,0.04,0.2,0,473,851.96
30,0.04,0.23333,0,2131,851.99
30,0.07,0.2,0,471,850.64
30,0.07,0.23333,0,2132,850.66
30,0.1,0.2,0,469,849.35
30,0.1,0.23333,0,2133,849.37
30,0.13,0.2,0,467,848.09
30,0.13,0.23333,0,2134,848.12
30,0.16,0.2,0,465,846.88
30,0.16,0.23333,0,2135,846.9
30,0.19,0.2,0,463,845.7
30,0.19,0.23333,0,2136,845.72
30,0.22,0.2,0,461,844.56
30,0.22,0.23333,0,2137,844.58
30,0.25,0.2,0,459,843.46
30,0.25,0.23333,0,2138,843.48
30,0.28,0.2,0,457,842.39
30,0.28,0.23333,0,2139,842.42
30,0.31,0.2,0,455,841.37
30,0.31,0.23333,0,2140,841.39
30,0.34,0.2,0,453,840.38
30,0.34,0.23333,0,2141,840.41
30,0.37,0.2,0,451,839.44
30,0.37,0.23333,0,2142,839.46
30,0.4,0.2,0,449,838.53
30,0.4,0.23333,0,2143,838.56
30,0.43,0.2,0,447,837.66
30,0.43,0.23333,0,2144,837.69
30,0.46,0.2,0,445,836.84
30,0.46,0.23333,0,2145,836.86
30,0.49,0.2,0,443,836.05
30,0.49,0.23333,0,2146,836.08
30,0.52,0.2,0,441,835.3
30,0.52,0.23333,0,2147,835.33
30,0.55,0.2,0,439,834.6
30,0.55,0.23333,0,2148,834.63
30,0.58,0.2,0,437,833.94
