Time,"Points:0","Points:1","Points:2","ids","temperature"
380,-0.5,0.2,0,509,898.43
380,-0.47,0.2,0,507,898.18
380,-0.47,0.23333,0,2113,898.18
380,-0.5,0.23333,0,2114,898.36
380,-0.44,0.2,0,505,897.98
380,-0.44,0.23333,0,2115,897.99
380,-0.41,0.2,0,503,897.79
380,-0.41,0.23333,0,2116,897.79
380,-0.38,0.2,0,501,897.59
380,-0.38,0.23333,0,2117,897.59
380,-0.35,0.2,0,499,897.4
380,-0.35,0.23333,0,2118,897.4
380,-0.32,0.2,0,497,897.21
380,-0.32,0.23333,0,2119,897.21
380,-0.29,0.2,0,495,897.02
380,-0.29,0.23333,0,2120,897.02
380,-0.26,0.2,0,493,896.83
380,-0.26,0.23333,0,2121,896.84
380,-0.23,0.2,0,491,896.65
380,-0.23,0.23333,0,2122,896.65
380,-0.2,0.2,0,489,896.47
380,-0.2,0.23333,0,2123,896.47
380,-0.17,0.2,0,487,896.29
380,-0.17,0.23333,0,2124,896.3
380,-0.14,0.2,0,485,896.12
380,-0.14,0.23333,0,2125,896.12
380,-0.11,0.2,0,483,895.95
380,-0.11,0.23333,0,2126,895.95
380,-0.08,0.2,0,481,895.78
380,-0.08,0.23333,0,2127,895.79
380,-0.05,0.2,0,479,895.62
380,-0.05,0.23333,0,2128,895.63
380,-0.02,0.2,0,477,895.46
380,-0.02,0.23333,0,2129,895.47
380,0.01,0.2,0,475,895.31
380,0.01,0.23333,0,2130,895.31
380,0.04,0.2,0,473,895.16
380,0.04,0.23333,0,2131,895.16
380,0.07,0.2,0,471,895.01
380,0.07,0.23333,0,2132,895.01
380,0.1,0.2,0,469,894.87
380,0.1,0.23333,0,2133,894.87
380,0.13,0.2,0,467,894.73
380,0.13,0.23333,0,2134,894.73
380,0.16,0.2,0,465,894.59
380,0.16,0.23333,0,2135,894.59
380,0.19,0.2,0,463,894.46
380,0.19,0.23333,0,2136,894.46
380,0.22,0.2,0,461,894.33
380,0.22,0.23333,0,2137,894.33
380,0.25,0.2,0,459,894.2
380,0.25,0.23333,0,2138,894.21
380,0.28,0.2,0,457,894.08
380,0.28,0.23333,0,2139,894.08
380,0.31,0.2,0,455,893.96
380,0.31,0.23333,0,2140,893.97
380,0.34,0.2,0,453,893.85
380,0.34,0.23333,0,2141,893.85
380,0.37,0.2,0,451,893.74
380,0.37,0.23333,0,2142,893.74
380,0.4,0.2,0,449,893.63
380,0.4,0.23333,0,2143,893.64
380,0.43,0.2,0,447,893.53
380,0.43,0.23333,0,2144,893.53
380,0.46,0.2,0,445,893.43
380,0.46,0.23333,0,2145,893.43
380,0.49,0.2,0,443,893.34
380,0.49,0.23333,0,2146,893.34
380,0.52,0.2,0,441,893.24
380,0.52,0.23333,0,2147,893.25
380,0.55,0.2,0,439,893.16
380,0.55,0.23333,0,2148,893.16
380,0.58,0.2,0,437,893.07
380,0.58,0.23333,0,2149,893.08
380,0.61,0.2,0,435,892.99
380,0.61,0.23333,0,2150,893
380,0.64,0.2,0,433,892.92
380,0.64,0.23333,0,2151,892.92
380,0.67,0.2,0,431,892.84
380,0.67,0.23333,0,2152,892.85
380,0.7,0.2,0,429,892.77
380,0.7,0.23333,0,2153,892.78
380,0.73,0.2,0,427,892.71
380,0.73,0.23333,0,2154,892.71
380,0.76,0.2,0,425,892.65
380,0.76,0.23333,0,2155,892.65
380,0.79,0.2,0,423,892.59
380,0.79,0.23333,0,2156,892.6
380,0.82,0.2,0,421,892.54
380,0.82,0.23333,0,2157,892.54
380,0.85,0.2,0,419,892.49
380,0.85,0.23333,0,2158,892.49
380,0.88,0.2,0,417,892.44
380,0.88,0.23333,0,2159,892.45
380,0.91,0.2,0,415,892.4
380,0.91,0.23333,0,2160,892.41
380,0.94,0.2,0,413,892.37
380,0.94,0.23333,0,2161,892.37
380,0.97,0.2,0,410,892.33
380,0.97,0.23333,0,2162,892.34
380,1,0.2,0,409,892.3
380,1,0.23333,0,1942,892.33
380,-0.47,0.26667,0,2163,898.18
380,-0.5,0.26667,0,2164,898.36
380,-0.44,0.26667,0,2165,897.99
380,-0.41,0.26667,0,2166,897.79
380,-0.38,0.26667,0,2167,897.59
380,-0.35,0.26667,0,2168,897.4
380,-0.32,0.26667,0,2169,897.21
380,-0.29,0.26667,0,2170,897.02
380,-0.26,0.26667,0,2171,896.84
380,-0.23,0.26667,0,2172,896.65
380,-0.2,0.26667,0,2173,896.47
380,-0.17,0.26667,0,2174,896.3
380,-0.14,0.26667,0,2175,896.12
380,-0.11,0.26667,0,2176,895.95
380,-0.08,0.26667,0,2177,895.79
380,-0.05,0.26667,0,2178,895.63
380,-0.02,0.26667,0,2179,895.47
380,0.01,0.26667,0,2180,895.31
380,0.04,0.26667,0,2181,895.16
380,0.07,0.26667,0,2182,895.01
380,0.1,0.26667,0,2183,894.87
380,0.13,0.26667,0,2184,894.73
380,0.16,0.26667,0,2185,894.59
380,0.19,0.26667,0,2186,894.46
380,0.22,0.26667,0,2187,894.33
380,0.25,0.26667,0,2188,894.21
380,0.28,0.26667,0,2189,894.08
380,0.31,0.26667,0,2190,893.97
380,0.34,0.26667,0,2191,893.85
380,0.37,0.26667,0,2192,893.74
380,0.4,0.26667,0,2193,893.64
380,0.43,0.26667,0,2194,893.53
380,0.46,0.26667,0,2195,893.43
380,0.49,0.26667,0,2196,893.34
380,0.52,0.26667,0,2197,893.25
380,0.55,0.26667,0,2198,893.16
380,0.58,0.26667,0,2199,893.08
380,0.61,0.26667,0,2200,893
380,0.64,0.26667,0,2201,892.92
380,0.67,0.26667,0,2202,892.85
380,0.7,0.26667,0,2203,892.78
380,0.73,0.26667,0,2204,892.71
380,0.76,0.26667,0,2205,892.65
380,0.79,0.26667,0,2206,892.6
380,0.82,0.26667,0,2207,892.54
380,0.85,0.26667,0,2208,892.49
380,0.88,0.26667,0,2209,892.45
380,0.91,0.26667,0,2210,892.41
380,0.94,0.26667,0,2211,892.37
380,0.97,0.26667,0,2212,892.34
380,1,0.26667,0,1960,892.33
380,-0.47,0.3,0,407,898.18
380,-0.5,0.3,0,408,898.43
380,-0.44,0.3,0,406,897.98
380,-0.41,0.3,0,405,897.79
380,-0.38,0.3,0,404,897.59
380,-0.35,0.3,0,403,897.4
380,-0.32,0.3,0,402,897.21
380,-0.29,0.3,0,401,897.02
380,-0.26,0.3,0,400,896.83
380,-0.23,0.3,0,399,896.65
380,-0.2,0.3,0,398,896.47
380,-0.17,0.3,0,397,896.29
380,-0.14,0.3,0,396,896.12
380,-0.11,0.3,0,395,895.95
380,-0.08,0.3,0,394,895.78
380,-0.05,0.3,0,393,895.62
380,-0.02,0.3,0,392,895.46
380,0.01,0.3,0,391,895.31
380,0.04,0.3,0,390,895.16
380,0.07,0.3,0,389,895.01
380,0.1,0.3,0,388,894.87
380,0.13,0.3,0,387,894.73
380,0.16,0.3,0,386,894.59
380,0.19,0.3,0,385,894.46
380,0.22,0.3,0,384,894.33
380,0.25,0.3,0,383,894.2
380,0.28,0.3,0,382,894.08
380,0.31,0.3,0,381,893.96
380,0.34,0.3,0,380,893.85
380,0.37,0.3,0,379,893.74
380,0.4,0.3,0,378,893.63
380,0.43,0.3,0,377,893.53
380,0.46,0.3,0,376,893.43
380,0.49,0.3,0,375,893.34
380,0.52,0.3,0,374,893.24
380,0.55,0.3,0,373,893.16
