Time,"Points:0","Points:1","Points:2","ids","temperature"
780,-0.5,0.2,0,509,899.4
780,-0.47,0.2,0,507,899.3
780,-0.47,0.23333,0,2113,899.3
780,-0.5,0.23333,0,2114,899.37
780,-0.44,0.2,0,505,899.22
780,-0.44,0.23333,0,2115,899.22
780,-0.41,0.2,0,503,899.14
780,-0.41,0.23333,0,2116,899.14
780,-0.38,0.2,0,501,899.07
780,-0.38,0.23333,0,2117,899.07
780,-0.35,0.2,0,499,898.99
780,-0.35,0.23333,0,2118,898.99
780,-0.32,0.2,0,497,898.91
780,-0.32,0.23333,0,2119,898.92
780,-0.29,0.2,0,495,898.84
780,-0.29,0.23333,0,2120,898.84
780,-0.26,0.2,0,493,898.76
780,-0.26,0.23333,0,2121,898.77
780,-0.23,0.2,0,491,898.69
780,-0.23,0.23333,0,2122,898.69
780,-0.2,0.2,0,489,898.62
780,-0.2,0.23333,0,2123,898.62
780,-0.17,0.2,0,487,898.55
780,-0.17,0.23333,0,2124,898.55
780,-0.14,0.2,0,485,898.47
780,-0.14,0.23333,0,2125,898.48
780,-0.11,0.2,0,483,898.4
780,-0.11,0.23333,0,2126,898.41
780,-0.08,0.2,0,481,898.34
780,-0.08,0.23333,0,2127,898.34
780,-0.05,0.2,0,479,898.27
780,-0.05,0.23333,0,2128,898.27
780,-0.02,0.2,0,477,898.2
780,-0.02,0.23333,0,2129,898.2
780,0.01,0.2,0,475,898.13
780,0.01,0.23333,0,2130,898.14
780,0.04,0.2,0,473,898.07
780,0.04,0.23333,0,2131,898.07
780,0.07,0.2,0,471,898.01
780,0.07,0.23333,0,2132,898.01
780,0.1,0.2,0,469,897.94
780,0.1,0.23333,0,2133,897.94
780,0.13,0.2,0,467,897.88
780,0.13,0.23333,0,2134,897.88
780,0.16,0.2,0,465,897.82
780,0.16,0.23333,0,2135,897.82
780,0.19,0.2,0,463,897.76
780,0.19,0.23333,0,2136,897.76
780,0.22,0.2,0,461,897.7
780,0.22,0.23333,0,2137,897.71
780,0.25,0.2,0,459,897.65
780,0.25,0.23333,0,2138,897.65
780,0.28,0.2,0,457,897.59
780,0.28,0.23333,0,2139,897.59
780,0.31,0.2,0,455,897.54
780,0.31,0.23333,0,2140,897.54
780,0.34,0.2,0,453,897.48
780,0.34,0.23333,0,2141,897.49
