Time,"Points:0","Points:1","Points:2","ids","temperature"
80,-0.5,0.2,0,509,895.21
80,-0.47,0.2,0,507,894.49
80,-0.47,0.23333,0,2113,894.49
80,-0.5,0.23333,0,2114,894.99
80,-0.44,0.2,0,505,893.91
80,-0.44,0.23333,0,2115,893.91
80,-0.41,0.2,0,503,893.33
80,-0.41,0.23333,0,2116,893.34
80,-0.38,0.2,0,501,892.77
80,-0.38,0.23333,0,2117,892.78
80,-0.35,0.2,0,499,892.21
80,-0.35,0.23333,0,2118,892.23
80,-0.32,0.2,0,497,891.67
80,-0.32,0.23333,0,2119,891.68
80,-0.29,0.2,0,495,891.14
80,-0.29,0.23333,0,2120,891.15
80,-0.26,0.2,0,493,890.61
80,-0.26,0.23333,0,2121,890.63
80,-0.23,0.2,0,491,890.1
80,-0.23,0.23333,0,2122,890.12
80,-0.2,0.2,0,489,889.6
80,-0.2,0.23333,0,2123,889.61
80,-0.17,0.2,0,487,889.11
80,-0.17,0.23333,0,2124,889.13
80,-0.14,0.2,0,485,888.63
80,-0.14,0.23333,0,2125,888.65
80,-0.11,0.2,0,483,888.17
80,-0.11,0.23333,0,2126,888.18
80,-0.08,0.2,0,481,887.71
80,-0.08,0.23333,0,2127,887.72
80,-0.05,0.2,0,479,887.26
80,-0.05,0.23333,0,2128,887.28
80,-0.02,0.2,0,477,886.83
80,-0.02,0.23333,0,2129,886.84
80,0.01,0.2,0,475,886.41
80,0.01,0.23333,0,2130,886.42
80,0.04,0.2,0,473,886
80,0.04,0.23333,0,2131,886.01
80,0.07,0.2,0,471,885.6
80,0.07,0.23333,0,2132,885.61
80,0.1,0.2,0,469,885.21
80,0.1,0.23333,0,2133,885.22
80,0.13,0.2,0,467,884.83
80,0.13,0.23333,0,2134,884.84
80,0.16,0.2,0,465,884.46
80,0.16,0.23333,0,2135,884.47
80,0.19,0.2,0,463,884.11
80,0.19,0.23333,0,2136,884.12
80,0.22,0.2,0,461,883.76
80,0.22,0.23333,0,2137,883.78
80,0.25,0.2,0,459,883.43
80,0.25,0.23333,0,2138,883.44
80,0.28,0.2,0,457,883.11
80,0.28,0.23333,0,2139,883.12
80,0.31,0.2,0,455,882.8
80,0.31,0.23333,0,2140,882.81
80,0.34,0.2,0,453,882.5
80,0.34,0.23333,0,2141,882.51
80,0.37,0.2,0,451,882.21
80,0.37,0.23333,0,2142,882.22
80,0.4,0.2,0,449,881.94
80,0.4,0.23333,0,2143,881.95
80,0.43,0.2,0,447,881.67
80,0.43,0.23333,0,2144,881.68
80,0.46,0.2,0,445,881.42
80,0.46,0.23333,0,2145,881.43
80,0.49,0.2,0,443,881.18
80,0.49,0.23333,0,2146,881.19
80,0.52,0.2,0,441,880.95
80,0.52,0.23333,0,2147,880.96
80,0.55,0.2,0,439,880.73
80,0.55,0.23333,0,2148,880.74
80,0.58,0.2,0,437,880.52
80,0.58,0.23333,0,2149,880.53
80,0.61,0.2,0,435,880.32
80,0.61,0.23333,0,2150,880.34
80,0.64,0.2,0,433,880.14
80,0.64,0.23333,0,2151,880.15
80,0.67,0.2,0,431,879.97
80,0.67,0.23333,0,2152,879.98
80,0.7,0.2,0,429,879.81
80,0.7,0.23333,0,2153,879.82
80,0.73,0.2,0,427,879.66
80,0.73,0.23333,0,2154,879.67
80,0.76,0.2,0,425,879.52
80,0.76,0.23333,0,2155,879.53
80,0.79,0.2,0,423,879.39
80,0.79,0.23333,0,2156,879.41
80,0.82,0.2,0,421,879.28
80,0.82,0.23333,0,2157,879.29
80,0.85,0.2,0,419,879.17
80,0.85,0.23333,0,2158,879.19
80,0.88,0.2,0,417,879.08
80,0.88,0.23333,0,2159,879.1
80,0.91,0.2,0,415,879
80,0.91,0.23333,0,2160,879.02
80,0.94,0.2,0,413,878.93
80,0.94,0.23333,0,2161,878.95
80,0.97,0.2,0,410,878.88
80,0.97,0.23333,0,2162,878.89
80,1,0.2,0,409,878.81
80,1,0.23333,0,1942,878.86
80,-0.47,0.26667,0,2163,894.49
80,-0.5,0.26667,0,2164,894.99
80,-0.44,0.26667,0,2165,893.91
80,-0.41,0.26667,0,2166,893.34
80,-0.38,0.26667,0,2167,892.78
80,-0.35,0.26667,0,2168,892.23
80,-0.32,0.26667,0,2169,891.68
80,-0.29,0.26667,0,2170,891.15
80,-0.26,0.26667,0,2171,890.63
80,-0.23,0.26667,0,2172,890.12
80,-0.2,0.26667,0,2173,889.61
80,-0.17,0.26667,0,2174,889.13
80,-0.14,0.26667,0,2175,888.65
